keyword,category,count
highlighter,things,108
refrigerator,things,108
garbage truck,things,102
medicine cabinet,things,98
owl,things,96
staircase,things,94
garage door,things,88
shower mat,things,86
car seat,things,86
pea soup,things,84
ink cartridge,things,82
walking stick,things,82
medication dispenser,things,82
swimsuit,things,82
garbage disposal,things,80
hay bale,things,78
eye mask,things,78
dijon mustard,things,78
webcam,things,78
tea leaf,things,78
broken glass,things,78
punching bag,things,76
desk lamp,things,76
push pin,things,76
foam roller,things,76
stationary bike,things,74
piano,things,74
electric scooter,things,74
water tank,things,74
laundry basket,things,74
vacuum cleaner,things,72
dental chair,things,72
butterfly,things,72
cabinet,things,72
desktop computer,things,72
magazine rack,things,72
aquarium,things,70
microphone stand,things,70
kiosk,things,70
sunglasses,things,70
battery bank,things,70
garbage can,things,68
wardrobe,things,68
tire iron,things,68
raccoon,things,68
calculator,things,66
suitcase,things,66
trash can,things,66
stadium,things,66
sofa,things,66
barcode,things,64
projector,things,64
rehearsal room,things,64
pot holder,things,64
rocketship,things,64
chimney,things,64
curling iron,things,62
zinc,things,62
wine decanter,things,62
exercise mat,things,62
mesquite,things,62
tape dispenser,things,62
crochet hook,things,62
solar panel,things,60
glitter,things,60
restaurants,things,60
excavator,things,60
incubator,things,60
salt scrub,things,60
parachute,things,60
flashlight,things,60
hot water bottle,things,58
yoga block,things,58
plastic tub,things,58
trumpet,things,58
electrical tape,things,58
metal lid,things,58
pant,things,58
sticker,things,58
hazelnut tree,things,56
sprinkler,things,56
volcano,things,56
lint trap,things,56
spider web,things,56
garment rack,things,56
contact lenses,things,54
free weights,things,54
lemming,things,54
binoculars,things,54
violin bow,things,54
server rack,things,54
oil filter,things,54
cupcake,things,54
truck,things,54
iris,things,54
nachos,things,54
unripe banana,things,54
ear protection,things,54
bedspread,things,54
glove box,things,54
earplug,things,54
fanny pack,things,54
pilates reformer,things,54
bear,things,54
engravings,things,54
generator,things,54
ice tea,things,52
hair clip,things,52
udon noodles,things,52
duffle bags,things,52
vip box,things,52
cooling tower,things,52
piping tips,things,52
brush,things,52
gator,things,52
fire coral,things,52
bar towel,things,52
dj turntable,things,52
finger,things,52
dish rack,things,52
moss ball,things,52
throw blanket,things,52
washcloth,things,52
deposit slip,things,52
waterfowl blind,things,52
drill bit,things,52
trinket box,things,52
