name,has_nickname,is_nickname,popularity_freq
james,True,True,526.24
john,True,True,519.62
robert,True,True,486.6
michael,True,True,444.04
william,True,True,420.5
mary,True,True,415.43
david,True,False,368.27
joseph,True,False,267.27
richard,True,True,258.55
charles,True,True,244.12
thomas,True,True,236.01
christopher,True,False,207.43
daniel,True,True,198.29
elizabeth,True,True,168.71
matthew,True,False,165.26
patricia,True,True,157.84
george,True,True,149.44
anthony,True,True,148.91
jennifer,True,False,147.6
linda,True,True,145.86
barbara,True,True,144.05
donald,True,False,142.0
paul,True,False,140.28
mark,False,True,136.53
andrew,True,True,132.98
edward,True,False,130.73
steven,True,False,129.63
kenneth,True,True,128.81
margaret,True,True,126.61
joshua,True,False,124.9
kevin,True,False,118.82
brian,True,False,117.73
susan,True,True,112.58
dorothy,True,False,111.52
sarah,True,False,109.91
timothy,True,False,108.67
ronald,True,True,108.56
jessica,True,False,105.39
helen,True,True,102.66
nancy,True,False,100.71
betty,False,True,100.46
ryan,True,False,98.78
jacob,True,True,98.42
jeffrey,True,False,98.25
lisa,True,True,96.97
nicholas,True,False,92.6
frank,False,True,92.0
anna,True,True,91.5
gary,False,True,90.52
emily,True,True,89.28
eric,True,True,89.19
sandra,True,True,87.8
ashley,True,False,87.38
jonathan,True,True,87.06
stephen,True,False,86.68
kimberly,True,True,84.96
donna,True,False,83.38
carol,True,True,82.55
benjamin,True,True,81.94
michelle,True,False,81.91
samuel,True,False,81.46
larry,True,True,81.09
laura,False,True,80.36
justin,True,False,79.27
amanda,True,True,79.22
raymond,True,True,78.25
scott,True,True,77.71
emma,True,True,76.53
melissa,True,True,76.19
henry,True,True,76.14
rebecca,True,False,75.72
jack,False,True,75.09
stephanie,True,False,74.72
deborah,True,True,74.42
alexander,True,True,73.33
sharon,True,False,72.59
kathleen,True,False,71.51
gregory,True,False,71.43
cynthia,True,False,71.32
amy,False,True,70.23
shirley,True,False,69.58
patrick,True,False,68.79
angela,True,False,67.46
catherine,True,True,66.86
virginia,True,False,65.44
katherine,True,False,65.11
walter,True,False,63.34
evelyn,True,False,63.25
jerry,True,True,63.21
dennis,True,True,62.33
aaron,True,False,61.47
brenda,True,False,61.05
frances,True,False,59.97
pamela,True,False,59.64
willie,True,True,59.62
nicole,True,True,59.57
samantha,True,False,59.21
peter,True,True,58.96
christine,True,False,58.83
alice,True,False,58.65
nathan,True,True,58.43
rachel,True,False,57.45
maria,False,True,56.74
douglas,True,False,56.18
janet,True,True,55.82
carolyn,True,False,55.82
kelly,False,True,55.6
olivia,True,False,55.44
harold,True,True,55.4
martha,True,False,55.33
debra,True,True,55.18
zachary,True,False,55.16
arthur,True,False,54.81
marie,True,True,54.18
heather,True,False,52.72
victoria,True,True,52.51
