aaron	erin,ron,ronnie
abbigail	abbe,abbey,abbi,abbie,abby,gail,nabby
abbigale	abbe,abbey,abbi,abbie,abby,gail,nabby
abednego	bedney
abel	ab,abe,eb,ebbie
abiel	ab
abigail	abbe,abbey,abbi,abbie,abby,gail,nabby
abigale	abbe,abbey,abbi,abbie,abby,gail,nabby
abijah	ab,bige
abner	ab
abraham	ab,abe
abram	ab,abe
absalom	ab,abbie,app
ada	addy,adie
adaline	ada,addy,adie,delia,dell,lena
addison	addie,addy
adela	adie,della
adelaide	addy,adele,adie,dell,della,heidi
adelbert	albert,bert,del,delbert
adele	addy,dell
adeline	ada,addy,delia,dell,lena
adelphia	addy,adele,dell,delphia,philly
adena	adina,deena,dena,dina
adolphus	ado,adolph,dolph
adrian	rian
adriane	riane
adrienne	addie,enne,rienne
agatha	aga,aggy
agnes	aggy,inez,nessa
aileen	allie,lena
alan	al
alanson	al,lanson
alastair	al
alazama	ali
albert	al,bert
alberta	allie,bert,bertie
aldo	al
aldrich	rich,riche,richie
aleksandr	alek,alex
aleva	leve,levy
alex	al
alexander	al,alec,alex,sandy
alexandra	alex,alla,sandra,sandy
alexandria	alex,alexander,alla,drina,sandra
alexis	alex,lexi
alfonse	al
alfred	al,fred,freddy
alfreda	alfy,freda,freddy,frieda
algernon	algy
alice	allie,elsie,lisa
alicia	allie,elsie,lisa
aline	adeline
alison	ali,allie
alixandra	alix
allan	al,alan,allen
allen	al,alan,allan
allisandra	ali,allie,ally
allison	ali,allie,ally
allyson	ali,allie,ally
allyssa	ali,allie,ally
almena	ali,allie,ally,mena
almina	minnie
almira	myra
alonzo	al,lon,lonzo
alphinias	alphus
althea	ally
alverta	vert,virdie
alyssa	al,ally,lissia
alzada	zada
amanda	manda,mandy
ambrose	brose
amelia	amy,emily,mel,millie
amos	moses
anastasia	ana,stacy
anderson	andy
andre	drea
andrea	andi,andrew,andy,drea,rea
andrew	andy,drew,randy
andriane	ada,adri,rienne
angela	angel,angie
angelica	angel,angelika,angelique,angie
angelina	angel,angie,lina
ann	annie,nan
anna	ann,anne,annie,nan
anne	ann,annie,nan
annette	anna,nettie
annie	ann,anna
anselm	ance,anse,ansel,selma
anthony	ant,tony
antoinette	ann,netta,tony
antonia	ann,netta,tony
antonio	ant,tony
appoline	appie,appy
aquilla	quil,quillie
ara	arry,belle
arabella	ara,arry,bella,belle
arabelle	ara,arry,bella,belle
araminta	armida,middie,minty,ruminta
archibald	archie
archilles	kill,killis
ariadne	ari,arie
arielle	arie
aristotle	telly
arizona	ona,onie
arlene	arly,lena
armanda	mandy
armena	arry,mena
armilda	milly
arminda	mindie
arminta	minite,minnie
arnold	arnie
aron	erin,ron,ronnie
artelepsa	epsey
artemus	art
arthur	art
arthusa	thursa
arzada	zaddi
asahel	asa
asaph	asa
asenath	assene,natty,sene
ashley	ash,ashly,leah,lee
aubrey	bree
audrey	audree,dee
august	gus
augusta	aggy,gatsy,gussie,tina
augustina	aggy,gatsy,gussie,tina
augustine	august,austin,gus
augustus	august,austin,gus
aurelia	aurilla,ora,orilla,ree,rilly
avarilla	rilla
azariah	aze,riah
bab	barby
babs	bab,barbara,barby
barbara	bab,babs,barbie,barby,bobbie
barbery	barbara
barbie	barbara
barnabas	barney
barney	barnabas
bart	bartholomew
bartholomew	bart,bartel,bat,mees,meus
barticus	bart
bazaleel	basil
bea	beatrice
beatrice	bea,trisha,trix,trixie
becca	beck
beck	becky
bedelia	bridgit,delia
belinda	belle,linda
bella	arabella,belle,isabella
benedict	ben,bennie
benjamin	ben,benjy,bennie,benny,jamie
benjy	benjamin
bernard	barney,berney,bernie,berny
berney	bernie
bert	bertie,bob,bobby
