aardvark	natural	too-big-for-backpack	animal
abacus	man-made	fits-in-backpack	tool
abdomen	natural	too-big-for-backpack	other
ability	abstract	size-varies	abstract
abolitionist	person	size-varies	person
abortion	abstract	size-varies	abstract
abortionist	person	size-varies	person
abrasion	both	size-varies	other
absent	abstract	size-varies	abstract
abuser	person	size-varies	person
abyss	natural	too-big-for-backpack	place
ac	man-made	size-varies	electronics
accept	abstract	size-varies	abstract
access	abstract	size-varies	abstract
accessory	man-made	fits-in-backpack	clothing
accident	abstract	size-varies	abstract
accolade	man-made	fits-in-backpack	other
accomplice	person	size-varies	person
accordion	man-made	fits-in-backpack	other
account	abstract	size-varies	abstract
accountant	person	size-varies	person
accuser	person	size-varies	person
ace	both	fits-in-backpack	other
acetaminophen	man-made	fits-in-backpack	other
acetylene	both	size-varies	other
acid	natural	fits-in-backpack	other
acolyte	person	size-varies	person
acorn	natural	fits-in-backpack	plant
acornm	abstract	size-varies	abstract
acquaintance	person	size-varies	person
acquittal	abstract	size-varies	abstract
acre	natural	too-big-for-backpack	place
acrobat	person	size-varies	person
acrobatics	abstract	size-varies	abstract
acrylic	man-made	size-varies	other
act	abstract	size-varies	abstract
action	abstract	size-varies	abstract
actions	abstract	size-varies	abstract
actor	person	size-varies	person
actors	person	size-varies	person
actress	person	size-varies	person
acupuncture	man-made	size-varies	other
ad	man-made	size-varies	abstract
addict	person	size-varies	person
address	both	size-varies	abstract
addressee	person	size-varies	person
adhesion	both	size-varies	other
adjuster	man-made	size-varies	tool
administrator	person	size-varies	person
admiral	person	size-varies	person
adoration	abstract	size-varies	abstract
adrenaline	natural	fits-in-backpack	other
adult	natural	size-varies	person
adventurer	person	size-varies	person
adverb	abstract	size-varies	abstract
adversary	person	size-varies	person
advert	man-made	size-varies	abstract
advertiser	person	size-varies	person
advice	abstract	size-varies	abstract
advil	man-made	fits-in-backpack	other
adviser	person	size-varies	person
advisor	person	size-varies	person
aerialist	person	size-varies	person
aeroplane	man-made	too-big-for-backpack	vehicle
aesthetics	abstract	size-varies	abstract
affect	abstract	size-varies	abstract
africa	natural	too-big-for-backpack	place
african	person	size-varies	person
afterlife	abstract	size-varies	abstract
aftermarket	man-made	size-varies	other
aftershave	man-made	fits-in-backpack	household
afterthought	abstract	size-varies	abstract
against	abstract	size-varies	abstract
agave	natural	size-varies	plant
age	both	size-varies	abstract
agency	abstract	size-varies	abstract
agent	person	size-varies	person
aggravator	person	size-varies	person
aging	natural	size-varies	abstract
agony	abstract	size-varies	abstract
agreement	abstract	size-varies	abstract
agriculturalist	person	size-varies	person
agriculture	both	too-big-for-backpack	other
agriculturist	person	size-varies	person
aide	person	size-varies	person
aides	person	size-varies	person
aids	natural	size-varies	abstract
air	natural	too-big-for-backpack	other
airbase	man-made	too-big-for-backpack	place
airboat	man-made	too-big-for-backpack	vehicle
aircraft	man-made	too-big-for-backpack	vehicle
airfield	man-made	too-big-for-backpack	place
airhorn	man-made	fits-in-backpack	tool
airlift	man-made	size-varies	abstract
airplane	man-made	too-big-for-backpack	vehicle
airplay	abstract	size-varies	abstract
airport	man-made	too-big-for-backpack	place
airspace	both	too-big-for-backpack	place
airstrip	man-made	too-big-for-backpack	place
airtank	man-made	too-big-for-backpack	other
aisle	man-made	too-big-for-backpack	place
ak47	man-made	fits-in-backpack	tool
alarm	man-made	fits-in-backpack	electronics
alarmclock	man-made	fits-in-backpack	electronics
albatross	natural	too-big-for-backpack	animal
albino	natural	size-varies	animal
album	man-made	fits-in-backpack	other
albums	man-made	fits-in-backpack	other
alcohol	both	fits-in-backpack	food
alcoholic	both	size-varies	person
alcoholism	abstract	size-varies	abstract
alcove	man-made	too-big-for-backpack	place
alderman	man-made	size-varies	person
ale	man-made	fits-in-backpack	food
alehouse	man-made	too-big-for-backpack	place
alfalfa	natural	size-varies	plant
algae	natural	size-varies	plant
algebra	abstract	size-varies	abstract
algerbra	abstract	size-varies	abstract
alien	both	size-varies	animal
aliens	both	size-varies	animal
aligator	natural	too-big-for-backpack	animal
allergist	man-made	size-varies	person
allergy	abstract	size-varies	abstract
alley	man-made	too-big-for-backpack	place
alleyway	man-made	too-big-for-backpack	place
alligator	natural	too-big-for-backpack	animal
allowance	abstract	size-varies	abstract
alloy	man-made	size-varies	other
alltruism	abstract	size-varies	abstract
almanac	man-made	fits-in-backpack	other
almond	natural	fits-in-backpack	food
aloe	natural	fits-in-backpack	plant
alone	abstract	size-varies	abstract
alpaca	natural	too-big-for-backpack	animal
alphabet	man-made	size-varies	abstract
alsatian	natural	too-big-for-backpack	animal
altar	man-made	too-big-for-backpack	household
altarboy	man-made	size-varies	person
altarpiece	man-made	too-big-for-backpack	other
altars	man-made	too-big-for-backpack	household
alternator	man-made	size-varies	tool
aluminium	natural	size-varies	other
aluminum	natural	size-varies	other
alumni	man-made	size-varies	person
amaretto	man-made	fits-in-backpack	food
amateur	man-made	size-varies	person
amazement	abstract	size-varies	abstract
amazon	natural	too-big-for-backpack	place
ambassador	man-made	size-varies	person
ambiance	abstract	size-varies	abstract
ambulance	man-made	too-big-for-backpack	vehicle
ameoba	natural	fits-in-backpack	animal
america	natural	too-big-for-backpack	place
american	man-made	size-varies	person
amethyst	natural	fits-in-backpack	other
ammo	man-made	fits-in-backpack	other
ammonia	both	fits-in-backpack	other
ammonium	both	fits-in-backpack	other
ammunition	man-made	fits-in-backpack	other
amoeba	natural	fits-in-backpack	animal
amound	abstract	size-varies	abstract
amount	abstract	size-varies	abstract
ampersand	man-made	fits-in-backpack	other
amphetamine	man-made	fits-in-backpack	other
amphibian	natural	size-varies	animal
amplifier	man-made	size-varies	electronics
amublance	man-made	too-big-for-backpack	vehicle
amulet	man-made	fits-in-backpack	other
analgesic	man-made	fits-in-backpack	other
analysis	abstract	size-varies	abstract
analyst	man-made	size-varies	person
ancestor	natural	size-varies	person
ancestors	natural	size-varies	person
anchor	man-made	size-varies	tool
anchorage	man-made	too-big-for-backpack	place
anchorman	man-made	size-varies	person
anchorwoman	man-made	size-varies	person
anchovy	natural	fits-in-backpack	food
ancients	natural	size-varies	person
android	man-made	size-varies	electronics
anemometer	man-made	fits-in-backpack	tool
anesthesia	man-made	size-varies	other
anesthetist	man-made	size-varies	person
angel	both	size-varies	person
angelfish	natural	fits-in-backpack	animal
anger	abstract	size-varies	abstract
anglefish	natural	fits-in-backpack	animal
angler	man-made	size-varies	person
angleworm	natural	fits-in-backpack	animal
angry	abstract	size-varies	abstract
aniamls	natural	size-varies	animal
animal	natural	size-varies	animal
animals	natural	size-varies	animal
animated	abstract	size-varies	abstract
animator	man-made	size-varies	person
anime	man-made	size-varies	other
ankle	natural	fits-in-backpack	animal
anklet	man-made	fits-in-backpack	clothing
