rank,name,gender,origin,rank_us,count,freq
1,james,m,US,1,5262396,526.2
2,john,m,US,2,5196210,519.6
3,robert,m,US,3,4866007,486.6
4,michael,m,US,4,4440391,444.0
5,william,m,US,5,4205026,420.5
6,mary,f,US,6,4154332,415.4
7,david,m,US,7,3682683,368.3
8,joseph,m,US,8,2672746,267.3
9,richard,m,US,9,2585535,258.6
10,charles,m,US,10,2441151,244.1
11,thomas,m,US,11,2360128,236.0
12,christopher,m,US,12,2074303,207.4
13,daniel,m,US,13,1982857,198.3
14,elizabeth,f,US,14,1687089,168.7
15,matthew,m,US,15,1652565,165.3
16,patricia,f,US,16,1578408,157.8
17,george,m,US,17,1494369,149.4
18,anthony,m,US,18,1489090,148.9
19,jennifer,f,US,19,1476028,147.6
20,linda,f,US,20,1458588,145.9
21,barbara,f,US,21,1440537,144.1
22,donald,m,US,22,1419980,142.0
23,paul,m,US,23,1402786,140.3
24,mark,m,US,24,1365265,136.5
25,andrew,m,US,25,1329846,133.0
26,edward,m,US,26,1307348,130.7
27,steven,m,US,27,1296316,129.6
28,kenneth,m,US,28,1288147,128.8
29,margaret,f,US,29,1266052,126.6
30,joshua,m,US,30,1249012,124.9
31,kevin,m,US,31,1188207,118.8
32,brian,m,US,32,1177325,117.7
33,susan,f,US,33,1125774,112.6
34,dorothy,f,US,34,1115156,111.5
35,sarah,f,US,35,1099063,109.9
36,timothy,m,US,36,1086730,108.7
37,ronald,m,US,37,1085633,108.6
38,jason,m,US,38,1054860,105.5
39,jessica,f,US,39,1053884,105.4
40,helen,f,US,40,1026632,102.7
41,nancy,f,US,41,1007116,100.7
42,betty,f,US,42,1004638,100.5
43,karen,f,US,43,990595,99.1
44,ryan,m,US,44,987785,98.8
45,jacob,m,US,45,984245,98.4
46,jeffrey,m,US,46,982547,98.3
47,lisa,f,US,47,969749,97.0
48,nicholas,m,US,48,926036,92.6
49,frank,m,US,49,920009,92.0
50,anna,f,US,50,915007,91.5
51,gary,m,US,51,905223,90.5
52,emily,f,US,52,892769,89.3
53,eric,m,US,53,891929,89.2
54,sandra,f,US,54,878026,87.8
55,ashley,f,US,55,873844,87.4
56,jonathan,m,US,56,870561,87.1
57,stephen,m,US,57,866834,86.7
58,kimberly,f,US,58,849647,85.0
59,ruth,f,US,59,837080,83.7
60,donna,f,US,60,833769,83.4
61,carol,f,US,61,825494,82.5
62,benjamin,m,US,62,819436,81.9
63,michelle,f,US,63,819099,81.9
64,samuel,m,US,64,814600,81.5
65,larry,m,US,65,810934,81.1
66,laura,f,US,66,803566,80.4
67,justin,m,US,67,792731,79.3
68,amanda,f,US,68,792151,79.2
69,raymond,m,US,69,782472,78.2
70,scott,m,US,70,777059,77.7
71,brandon,m,US,71,773294,77.3
72,emma,f,US,72,765264,76.5
73,melissa,f,US,73,761881,76.2
74,henry,m,US,74,761424,76.1
75,rebecca,f,US,75,757198,75.7
76,jack,m,US,76,750859,75.1
77,stephanie,f,US,77,747234,74.7
78,deborah,f,US,78,744162,74.4
79,alexander,m,US,79,733348,73.3
80,sharon,f,US,80,725947,72.6
81,kathleen,f,US,81,715129,71.5
82,gregory,m,US,82,714266,71.4
83,cynthia,f,US,83,713161,71.3
84,amy,f,US,84,702270,70.2
85,shirley,f,US,85,695797,69.6
86,patrick,m,US,86,687932,68.8
87,angela,f,US,87,674615,67.5
88,catherine,f,US,88,668624,66.9
89,virginia,f,US,89,654381,65.4
90,katherine,f,US,90,651062,65.1
91,walter,m,US,91,633415,63.3
92,evelyn,f,US,92,632472,63.2
93,jerry,m,US,93,632139,63.2
94,dennis,m,US,94,623306,62.3
95,tyler,m,US,95,619711,62.0
96,aaron,m,US,96,614747,61.5
97,brenda,f,US,97,610451,61.0
98,frances,f,US,98,599746,60.0
99,pamela,f,US,99,596378,59.6
100,willie,u,US,100,596221,59.6
101,nicole,f,US,101,595656,59.6
102,jose,m,US,102,592999,59.3
103,samantha,f,US,103,592059,59.2
104,peter,m,US,104,589576,59.0
105,christine,f,US,105,588308,58.8
106,alice,f,US,106,586537,58.7
107,nathan,m,US,107,584253,58.4
108,adam,m,US,108,578925,57.9
109,rachel,f,US,109,574486,57.4
110,maria,f,US,110,567411,56.7
111,douglas,m,US,111,561781,56.2
112,janet,f,US,112,558224,55.8
113,carolyn,f,US,113,558213,55.8
114,kelly,u,US,114,555958,55.6
115,olivia,f,US,115,554445,55.4
116,harold,m,US,116,554046,55.4
117,martha,f,US,117,553316,55.3
118,debra,f,US,118,551809,55.2
119,zachary,m,US,119,551618,55.2
120,arthur,m,US,120,548057,54.8
121,marie,f,US,121,541788,54.2
122,jordan,u,US,122,533499,53.3
123,grace,f,US,123,531126,53.1
124,heather,f,US,124,527210,52.7
125,victoria,f,US,125,525116,52.5
126,terry,u,US,126,521274,52.1
